Date,Heure,Hauteur (m),Hauteur relative Ã  2.4m
2025-05-03,11:50,"2,89","0,49"
2025-05-03,12:00,"2,80","0,40"
2025-05-03,12:10,"2,72","0,32"
2025-05-03,12:20,"2,63","0,23"
2025-05-03,12:30,"2,54","0,14"
2025-05-03,12:40,"2,45","0,05"
2025-05-03,12:50,"2,36","-0,04"
2025-05-03,13:00,"2,27","-0,13"
2025-05-03,13:10,"2,18","-0,22"
2025-05-03,13:20,"2,10","-0,30"
2025-05-03,13:30,"2,02","-0,38"
2025-05-03,13:40,"1,94","-0,46"
2025-05-03,13:50,"1,86","-0,54"
2025-05-03,14:00,"1,79","-0,61"
2025-05-03,14:10,"1,73","-0,67"
2025-05-03,14:20,"1,67","-0,73"
2025-05-03,14:30,"1,62","-0,78"
2025-05-03,14:40,"1,57","-0,83"
2025-05-03,14:50,"1,53","-0,87"
2025-05-03,15:00,"1,50","-0,90"
2025-05-03,15:10,"1,48","-0,92"
2025-05-03,15:20,"1,46","-0,94"
2025-05-03,15:30,"1,45","-0,95"
2025-05-03,15:40,"1,45","-0,95"
2025-05-03,15:50,"1,46","-0,94"
2025-05-03,16:00,"1,47","-0,93"
2025-05-03,16:10,"1,49","-0,91"
2025-05-03,16:20,"1,52","-0,88"
2025-05-03,16:30,"1,55","-0,85"
2025-05-03,16:40,"1,59","-0,81"
2025-05-03,16:50,"1,64","-0,76"
2025-05-03,17:00,"1,69","-0,71"
2025-05-03,17:10,"1,74","-0,66"
2025-05-03,17:20,"1,81","-0,59"
2025-05-03,17:30,"1,87","-0,53"
2025-05-03,17:40,"1,94","-0,46"
2025-05-03,17:50,"2,01","-0,39"
2025-05-03,18:00,"2,09","-0,31"
2025-05-03,18:10,"2,17","-0,23"
2025-05-03,18:20,"2,25","-0,15"
2025-05-03,18:30,"2,34","-0,06"
2025-05-03,18:40,"2,42","0,02"
2025-05-03,18:50,"2,51","0,11"
2025-05-03,19:00,"2,59","0,19"
2025-05-03,19:10,"2,68","0,28"
2025-05-03,19:20,"2,76","0,36"
2025-05-03,19:30,"2,84","0,44"
2025-05-03,19:40,"2,92","0,52"
2025-05-03,19:50,"3,00","0,60"
2025-05-03,20:00,"3,07","0,67"
2025-05-03,20:10,"3,15","0,75"
2025-05-03,20:20,"3,21","0,81"
2025-05-03,20:30,"3,27","0,87"
2025-05-03,20:40,"3,33","0,93"
2025-05-03,20:50,"3,38","0,98"
2025-05-03,21:00,"3,43","1,03"
2025-05-03,21:10,"3,47","1,07"
2025-05-03,21:20,"3,51","1,11"
2025-05-03,21:30,"3,53","1,13"
2025-05-03,21:40,"3,56","1,16"
2025-05-03,21:50,"3,57","1,17"
2025-05-03,22:00,"3,58","1,18"
2025-05-03,22:10,"3,58","1,18"
2025-05-03,22:20,"3,57","1,17"
2025-05-03,22:30,"3,56","1,16"
2025-05-03,22:40,"3,54","1,14"
2025-05-03,22:50,"3,51","1,11"
2025-05-03,23:00,"3,47","1,07"
2025-05-03,23:10,"3,43","1,03"
2025-05-03,23:20,"3,38","0,98"
2025-05-03,23:30,"3,33","0,93"
2025-05-03,23:40,"3,27","0,87"
2025-05-03,23:50,"3,20","0,80"
2025-05-04,00:00,"3,13","0,73"
2025-05-04,00:10,"3,05","0,65"
2025-05-04,00:20,"2,97","0,57"
2025-05-04,00:30,"2,88","0,48"
2025-05-04,00:40,"2,80","0,40"
2025-05-04,00:50,"2,71","0,31"
2025-05-04,01:00,"2,62","0,22"
2025-05-04,01:10,"2,52","0,12"
2025-05-04,01:20,"2,43","0,03"
2025-05-04,01:30,"2,34","-0,06"
2025-05-04,01:40,"2,25","-0,15"
2025-05-04,01:50,"2,16","-0,24"
2025-05-04,02:00,"2,07","-0,33"
2025-05-04,02:10,"1,98","-0,42"
2025-05-04,02:20,"1,90","-0,50"
2025-05-04,02:30,"1,82","-0,58"
2025-05-04,02:40,"1,75","-0,65"
2025-05-04,02:50,"1,68","-0,72"
2025-05-04,03:00,"1,61","-0,79"
2025-05-04,03:10,"1,55","-0,85"
2025-05-04,03:20,"1,50","-0,90"
2025-05-04,03:30,"1,46","-0,94"
2025-05-04,03:40,"1,42","-0,98"
2025-05-04,03:50,"1,38","-1,02"
2025-05-04,04:00,"1,36","-1,04"
2025-05-04,04:10,"1,34","-1,06"
2025-05-04,04:20,"1,33","-1,07"
2025-05-04,04:30,"1,33","-1,07"
2025-05-04,04:40,"1,33","-1,07"
2025-05-04,04:50,"1,34","-1,06"
2025-05-04,05:00,"1,36","-1,04"
2025-05-04,05:10,"1,38","-1,02"
2025-05-04,05:20,"1,41","-0,99"
2025-05-04,05:30,"1,44","-0,96"
2025-05-04,05:40,"1,48","-0,92"
2025-05-04,05:50,"1,52","-0,88"
2025-05-04,06:00,"1,57","-0,83"
2025-05-04,06:10,"1,62","-0,78"
2025-05-04,06:20,"1,68","-0,72"
2025-05-04,06:30,"1,74","-0,66"
2025-05-04,06:40,"1,81","-0,59"
2025-05-04,06:50,"1,87","-0,53"
2025-05-04,07:00,"1,94","-0,46"
2025-05-04,07:10,"2,01","-0,39"
2025-05-04,07:20,"2,09","-0,31"
2025-05-04,07:30,"2,16","-0,24"
2025-05-04,07:40,"2,24","-0,16"
2025-05-04,07:50,"2,31","-0,09"
2025-05-04,08:00,"2,39","-0,01"
2025-05-04,08:10,"2,46","0,06"
2025-05-04,08:20,"2,54","0,14"
2025-05-04,08:30,"2,61","0,21"
2025-05-04,08:40,"2,68","0,28"
2025-05-04,08:50,"2,74","0,34"
2025-05-04,09:00,"2,81","0,41"
2025-05-04,09:10,"2,87","0,47"
2025-05-04,09:20,"2,93","0,53"
2025-05-04,09:30,"2,98","0,58"
2025-05-04,09:40,"3,03","0,63"
2025-05-04,09:50,"3,08","0,68"
2025-05-04,10:00,"3,12","0,72"
2025-05-04,10:10,"3,15","0,75"
2025-05-04,10:20,"3,18","0,78"
2025-05-04,10:30,"3,20","0,80"
2025-05-04,10:40,"3,22","0,82"
2025-05-04,10:50,"3,23","0,83"
2025-05-04,11:00,"3,24","0,84"
2025-05-04,11:10,"3,24","0,84"
2025-05-04,11:20,"3,23","0,83"
2025-05-04,11:30,"3,22","0,82"
2025-05-04,11:40,"3,20","0,80"
2025-05-04,11:50,"3,17","0,77"
2025-05-04,12:00,"3,14","0,74"
2025-05-04,12:10,"3,10","0,70"
2025-05-04,12:20,"3,06","0,66"
2025-05-04,12:30,"3,01","0,61"
2025-05-04,12:40,"2,96","0,56"
2025-05-04,12:50,"2,90","0,50"
2025-05-04,13:00,"2,84","0,44"
2025-05-04,13:10,"2,77","0,37"
2025-05-04,13:20,"2,70","0,30"
2025-05-04,13:30,"2,63","0,23"
2025-05-04,13:40,"2,56","0,16"
2025-05-04,13:50,"2,49","0,09"
2025-05-04,14:00,"2,42","0,02"
2025-05-04,14:10,"2,34","-0,06"
2025-05-04,14:20,"2,27","-0,13"
2025-05-04,14:30,"2,20","-0,20"
2025-05-04,14:40,"2,13","-0,27"
2025-05-04,14:50,"2,07","-0,33"
2025-05-04,15:00,"2,00","-0,40"
2025-05-04,15:10,"1,95","-0,45"
2025-05-04,15:20,"1,89","-0,51"
2025-05-04,15:30,"1,84","-0,56"
2025-05-04,15:40,"1,80","-0,60"
2025-05-04,15:50,"1,76","-0,64"
2025-05-04,16:00,"1,72","-0,68"
2025-05-04,16:10,"1,70","-0,70"
2025-05-04,16:20,"1,67","-0,73"
2025-05-04,16:30,"1,66","-0,74"
2025-05-04,16:40,"1,65","-0,75"
2025-05-04,16:50,"1,65","-0,75"
2025-05-04,17:00,"1,65","-0,75"
2025-05-04,17:10,"1,66","-0,74"
2025-05-04,17:20,"1,68","-0,72"
2025-05-04,17:30,"1,70","-0,70"
2025-05-04,17:40,"1,72","-0,68"
2025-05-04,17:50,"1,76","-0,64"
2025-05-04,18:00,"1,79","-0,61"
2025-05-04,18:10,"1,83","-0,57"
2025-05-04,18:20,"1,87","-0,53"
2025-05-04,18:30,"1,92","-0,48"
2025-05-04,18:40,"1,97","-0,43"
2025-05-04,18:50,"2,03","-0,37"
2025-05-04,19:00,"2,09","-0,31"
2025-05-04,19:10,"2,15","-0,25"
2025-05-04,19:20,"2,21","-0,19"
2025-05-04,19:30,"2,28","-0,12"
2025-05-04,19:40,"2,34","-0,06"
2025-05-04,19:50,"2,41","0,01"
2025-05-04,20:00,"2,48","0,08"
2025-05-04,20:10,"2,55","0,15"
2025-05-04,20:20,"2,62","0,22"
2025-05-04,20:30,"2,69","0,29"
2025-05-04,20:40,"2,76","0,36"
2025-05-04,20:50,"2,82","0,42"
2025-05-04,21:00,"2,89","0,49"
2025-05-04,21:10,"2,95","0,55"
2025-05-04,21:20,"3,01","0,61"
2025-05-04,21:30,"3,07","0,67"
2025-05-04,21:40,"3,12","0,72"
2025-05-04,21:50,"3,17","0,77"
2025-05-04,22:00,"3,22","0,82"
2025-05-04,22:10,"3,26","0,86"
2025-05-04,22:20,"3,30","0,90"
2025-05-04,22:30,"3,33","0,93"
2025-05-04,22:40,"3,36","0,96"
2025-05-04,22:50,"3,39","0,99"
2025-05-04,23:00,"3,41","1,01"
2025-05-04,23:10,"3,42","1,02"
2025-05-04,23:20,"3,43","1,03"
2025-05-04,23:30,"3,43","1,03"
2025-05-04,23:40,"3,43","1,03"
2025-05-04,23:50,"3,42","1,02"
2025-05-05,00:00,"3,40","1,00"
2025-05-05,00:10,"3,38","0,98"
2025-05-05,00:20,"3,35","0,95"
2025-05-05,00:30,"3,31","0,91"
2025-05-05,00:40,"3,27","0,87"
2025-05-05,00:50,"3,22","0,82"
2025-05-05,01:00,"3,17","0,77"
2025-05-05,01:10,"3,11","0,71"
2025-05-05,01:20,"3,04","0,64"
2025-05-05,01:30,"2,98","0,58"
2025-05-05,01:40,"2,91","0,51"
2025-05-05,01:50,"2,83","0,43"
2025-05-05,02:00,"2,76","0,36"
2025-05-05,02:10,"2,68","0,28"
2025-05-05,02:20,"2,60","0,20"
2025-05-05,02:30,"2,52","0,12"
2025-05-05,02:40,"2,43","0,03"
2025-05-05,02:50,"2,35","-0,05"
2025-05-05,03:00,"2,27","-0,13"
2025-05-05,03:10,"2,19","-0,21"
2025-05-05,03:20,"2,11","-0,29"
2025-05-05,03:30,"2,04","-0,36"
2025-05-05,03:40,"1,96","-0,44"
2025-05-05,03:50,"1,90","-0,50"
2025-05-05,04:00,"1,83","-0,57"
2025-05-05,04:10,"1,77","-0,63"
2025-05-05,04:20,"1,71","-0,69"
2025-05-05,04:30,"1,66","-0,74"
2025-05-05,04:40,"1,62","-0,78"
2025-05-05,04:50,"1,58","-0,82"
2025-05-05,05:00,"1,54","-0,86"
2025-05-05,05:10,"1,51","-0,89"
2025-05-05,05:20,"1,49","-0,91"
2025-05-05,05:30,"1,48","-0,92"
2025-05-05,05:40,"1,47","-0,93"
2025-05-05,05:50,"1,47","-0,93"
2025-05-05,06:00,"1,48","-0,92"
2025-05-05,06:10,"1,48","-0,92"
2025-05-05,06:20,"1,50","-0,90"
2025-05-05,06:30,"1,52","-0,88"
2025-05-05,06:40,"1,54","-0,86"
2025-05-05,06:50,"1,57","-0,83"
2025-05-05,07:00,"1,61","-0,79"
2025-05-05,07:10,"1,65","-0,75"
2025-05-05,07:20,"1,69","-0,71"
2025-05-05,07:30,"1,74","-0,66"
2025-05-05,07:40,"1,79","-0,61"
2025-05-05,07:50,"1,84","-0,56"
2025-05-05,08:00,"1,90","-0,50"
2025-05-05,08:10,"1,96","-0,44"
2025-05-05,08:20,"2,02","-0,38"
2025-05-05,08:30,"2,08","-0,32"
2025-05-05,08:40,"2,14","-0,26"
2025-05-05,08:50,"2,21","-0,19"
2025-05-05,09:00,"2,28","-0,12"
2025-05-05,09:10,"2,34","-0,06"
2025-05-05,09:20,"2,41","0,01"
2025-05-05,09:30,"2,48","0,08"
2025-05-05,09:40,"2,54","0,14"
2025-05-05,09:50,"2,61","0,21"
2025-05-05,10:00,"2,67","0,27"
2025-05-05,10:10,"2,73","0,33"
2025-05-05,10:20,"2,79","0,39"
2025-05-05,10:30,"2,84","0,44"
2025-05-05,10:40,"2,89","0,49"
2025-05-05,10:50,"2,94","0,54"
2025-05-05,11:00,"2,99","0,59"
2025-05-05,11:10,"3,03","0,63"
2025-05-05,11:20,"3,07","0,67"
2025-05-05,11:30,"3,10","0,70"
2025-05-05,11:40,"3,13","0,73"
2025-05-05,11:50,"3,15","0,75"
2025-05-05,12:00,"3,17","0,77"
2025-05-05,12:10,"3,18","0,78"
2025-05-05,12:20,"3,19","0,79"
2025-05-05,12:30,"3,19","0,79"
2025-05-05,12:40,"3,19","0,79"
2025-05-05,12:50,"3,18","0,78"
2025-05-05,13:00,"3,16","0,76"
2025-05-05,13:10,"3,14","0,74"
2025-05-05,13:20,"3,11","0,71"
2025-05-05,13:30,"3,08","0,68"
2025-05-05,13:40,"3,04","0,64"
2025-05-05,13:50,"2,99","0,59"
2025-05-05,14:00,"2,94","0,54"
2025-05-05,14:10,"2,89","0,49"
2025-05-05,14:20,"2,83","0,43"
2025-05-05,14:30,"2,77","0,37"
2025-05-05,14:40,"2,71","0,31"
2025-05-05,14:50,"2,64","0,24"
2025-05-05,15:00,"2,57","0,17"
2025-05-05,15:10,"2,50","0,10"
2025-05-05,15:20,"2,43","0,03"
2025-05-05,15:30,"2,37","-0,03"
2025-05-05,15:40,"2,30","-0,10"
2025-05-05,15:50,"2,23","-0,17"
2025-05-05,16:00,"2,16","-0,24"
2025-05-05,16:10,"2,10","-0,30"
2025-05-05,16:20,"2,04","-0,36"
2025-05-05,16:30,"1,98","-0,42"
2025-05-05,16:40,"1,93","-0,47"
2025-05-05,16:50,"1,88","-0,52"
2025-05-05,17:00,"1,84","-0,56"
2025-05-05,17:10,"1,80","-0,60"
2025-05-05,17:20,"1,77","-0,63"
2025-05-05,17:30,"1,74","-0,66"
2025-05-05,17:40,"1,72","-0,68"
2025-05-05,17:50,"1,71","-0,69"
2025-05-05,18:00,"1,70","-0,70"
2025-05-05,18:10,"1,70","-0,70"
2025-05-05,18:20,"1,70","-0,70"
2025-05-05,18:30,"1,71","-0,69"
2025-05-05,18:40,"1,73","-0,67"
2025-05-05,18:50,"1,75","-0,65"
2025-05-05,19:00,"1,77","-0,63"
2025-05-05,19:10,"1,80","-0,60"
2025-05-05,19:20,"1,83","-0,57"
2025-05-05,19:30,"1,87","-0,53"
2025-05-05,19:40,"1,91","-0,49"
2025-05-05,19:50,"1,96","-0,44"
2025-05-05,20:00,"2,01","-0,39"
2025-05-05,20:10,"2,06","-0,34"
2025-05-05,20:20,"2,12","-0,28"
2025-05-05,20:30,"2,18","-0,22"
2025-05-05,20:40,"2,24","-0,16"
2025-05-05,20:50,"2,30","-0,10"
2025-05-05,21:00,"2,36","-0,04"
2025-05-05,21:10,"2,43","0,03"
2025-05-05,21:20,"2,50","0,10"
2025-05-05,21:30,"2,56","0,16"
2025-05-05,21:40,"2,63","0,23"
2025-05-05,21:50,"2,69","0,29"
2025-05-05,22:00,"2,76","0,36"
2025-05-05,22:10,"2,82","0,42"
2025-05-05,22:20,"2,89","0,49"
2025-05-05,22:30,"2,95","0,55"
2025-05-05,22:40,"3,00","0,60"
2025-05-05,22:50,"3,06","0,66"
2025-05-05,23:00,"3,11","0,71"
2025-05-05,23:10,"3,16","0,76"
2025-05-05,23:20,"3,20","0,80"
2025-05-05,23:30,"3,25","0,85"
2025-05-05,23:40,"3,28","0,88"
2025-05-05,23:50,"3,32","0,92"
2025-05-06,00:00,"3,34","0,94"
2025-05-06,00:10,"3,37","0,97"
2025-05-06,00:20,"3,39","0,99"
2025-05-06,00:30,"3,40","1,00"
2025-05-06,00:40,"3,41","1,01"
2025-05-06,00:50,"3,41","1,01"
2025-05-06,01:00,"3,41","1,01"
2025-05-06,01:10,"3,40","1,00"
2025-05-06,01:20,"3,38","0,98"
2025-05-06,01:30,"3,36","0,96"
2025-05-06,01:40,"3,33","0,93"
2025-05-06,01:50,"3,29","0,89"
2025-05-06,02:00,"3,25","0,85"
2025-05-06,02:10,"3,20","0,80"
2025-05-06,02:20,"3,15","0,75"
2025-05-06,02:30,"3,09","0,69"
2025-05-06,02:40,"3,03","0,63"
2025-05-06,02:50,"2,96","0,56"
2025-05-06,03:00,"2,89","0,49"
2025-05-06,03:10,"2,81","0,41"
2025-05-06,03:20,"2,74","0,34"
2025-05-06,03:30,"2,66","0,26"
2025-05-06,03:40,"2,58","0,18"
2025-05-06,03:50,"2,50","0,10"
2025-05-06,04:00,"2,42","0,02"
2025-05-06,04:10,"2,33","-0,07"
2025-05-06,04:20,"2,25","-0,15"
2025-05-06,04:30,"2,17","-0,23"
2025-05-06,04:40,"2,10","-0,30"
2025-05-06,04:50,"2,02","-0,38"
2025-05-06,05:00,"1,95","-0,45"
2025-05-06,05:10,"1,88","-0,52"
2025-05-06,05:20,"1,81","-0,59"
2025-05-06,05:30,"1,75","-0,65"
2025-05-06,05:40,"1,70","-0,70"
2025-05-06,05:50,"1,65","-0,75"
2025-05-06,06:00,"1,60","-0,80"
2025-05-06,06:10,"1,57","-0,83"
2025-05-06,06:20,"1,53","-0,87"
2025-05-06,06:30,"1,51","-0,89"
2025-05-06,06:40,"1,49","-0,91"
2025-05-06,06:50,"1,48","-0,92"
2025-05-06,07:00,"1,47","-0,93"
2025-05-06,07:10,"1,47","-0,93"
2025-05-06,07:20,"1,48","-0,92"
2025-05-06,07:30,"1,49","-0,91"
2025-05-06,07:40,"1,51","-0,89"
2025-05-06,07:50,"1,53","-0,87"
2025-05-06,08:00,"1,56","-0,84"
2025-05-06,08:10,"1,60","-0,80"
2025-05-06,08:20,"1,63","-0,77"
2025-05-06,08:30,"1,68","-0,72"
2025-05-06,08:40,"1,73","-0,67"
2025-05-06,08:50,"1,78","-0,62"
2025-05-06,09:00,"1,83","-0,57"
2025-05-06,09:10,"1,89","-0,51"
2025-05-06,09:20,"1,96","-0,44"
2025-05-06,09:30,"2,02","-0,38"
2025-05-06,09:40,"2,09","-0,31"
2025-05-06,09:50,"2,16","-0,24"
2025-05-06,10:00,"2,23","-0,17"
2025-05-06,10:10,"2,30","-0,10"
2025-05-06,10:20,"2,37","-0,03"
2025-05-06,10:30,"2,44","0,04"
2025-05-06,10:40,"2,51","0,11"
2025-05-06,10:50,"2,59","0,19"
2025-05-06,11:00,"2,65","0,25"
2025-05-06,11:10,"2,72","0,32"
2025-05-06,11:20,"2,79","0,39"
2025-05-06,11:30,"2,85","0,45"
2025-05-06,11:40,"2,91","0,51"
2025-05-06,11:50,"2,97","0,57"
2025-05-06,12:00,"3,02","0,62"
2025-05-06,12:10,"3,07","0,67"
2025-05-06,12:20,"3,11","0,71"
2025-05-06,12:30,"3,15","0,75"
2025-05-06,12:40,"3,19","0,79"
2025-05-06,12:50,"3,21","0,81"
2025-05-06,13:00,"3,24","0,84"
2025-05-06,13:10,"3,26","0,86"
2025-05-06,13:20,"3,27","0,87"
2025-05-06,13:30,"3,28","0,88"
2025-05-06,13:40,"3,28","0,88"
2025-05-06,13:50,"3,27","0,87"
2025-05-06,14:00,"3,26","0,86"
2025-05-06,14:10,"3,24","0,84"
2025-05-06,14:20,"3,22","0,82"
2025-05-06,14:30,"3,19","0,79"
2025-05-06,14:40,"3,15","0,75"
2025-05-06,14:50,"3,10","0,70"
2025-05-06,15:00,"3,05","0,65"
2025-05-06,15:10,"3,00","0,60"
2025-05-06,15:20,"2,94","0,54"
2025-05-06,15:30,"2,88","0,48"
2025-05-06,15:40,"2,81","0,41"
2025-05-06,15:50,"2,74","0,34"
2025-05-06,16:00,"2,66","0,26"
2025-05-06,16:10,"2,59","0,19"
2025-05-06,16:20,"2,51","0,11"
2025-05-06,16:30,"2,44","0,04"
2025-05-06,16:40,"2,36","-0,04"
2025-05-06,16:50,"2,28","-0,12"
2025-05-06,17:00,"2,21","-0,19"
2025-05-06,17:10,"2,14","-0,26"
2025-05-06,17:20,"2,07","-0,33"
2025-05-06,17:30,"2,00","-0,40"
2025-05-06,17:40,"1,94","-0,46"
2025-05-06,17:50,"1,88","-0,52"
2025-05-06,18:00,"1,83","-0,57"
2025-05-06,18:10,"1,78","-0,62"
2025-05-06,18:20,"1,73","-0,67"
2025-05-06,18:30,"1,70","-0,70"
2025-05-06,18:40,"1,67","-0,73"
2025-05-06,18:50,"1,64","-0,76"
2025-05-06,19:00,"1,62","-0,78"
2025-05-06,19:10,"1,61","-0,79"
2025-05-06,19:20,"1,61","-0,79"
2025-05-06,19:30,"1,61","-0,79"
2025-05-06,19:40,"1,61","-0,79"
2025-05-06,19:50,"1,61","-0,79"
2025-05-06,20:00,"1,61","-0,79"
2025-05-06,20:10,"1,61","-0,79"
2025-05-06,20:20,"1,61","-0,79"
2025-05-06,20:30,"1,61","-0,79"
2025-05-06,20:40,"1,61","-0,79"
2025-05-06,20:50,"1,61","-0,79"
2025-05-06,21:00,"1,61","-0,79"
2025-05-06,21:10,"1,61","-0,79"
2025-05-06,21:20,"1,61","-0,79"
2025-05-06,21:30,"1,61","-0,79"
2025-05-06,21:40,"1,61","-0,79"
2025-05-06,21:50,"1,61","-0,79"
2025-05-06,22:00,"1,61","-0,79"
2025-05-06,22:10,"1,61","-0,79"
2025-05-06,22:20,"1,61","-0,79"
2025-05-06,22:30,"1,61","-0,79"
2025-05-06,22:40,"1,61","-0,79"
2025-05-06,22:50,"1,61","-0,79"
2025-05-06,23:00,"1,61","-0,79"
2025-05-06,23:10,"1,61","-0,79"
2025-05-06,23:20,"1,61","-0,79"
2025-05-06,23:30,"1,61","-0,79"
2025-05-06,23:40,"1,61","-0,79"
2025-05-06,23:50,"1,61","-0,79"
